City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Toora-Khem,RU,2022-03-23 21:52:54,52.4675,96.11,-4.7,98,57,1.5
111,Abu Dhabi,AE,2022-03-23 21:50:13,24.4667,54.3667,75.31,69,0,2.3
112,Yuzhno-Kurilsk,RU,2022-03-23 21:52:54,44.0306,145.8556,31.66,96,100,4.63
113,Karratha,AU,2022-03-23 21:52:55,-20.7377,116.8463,86.94,64,99,14.29
114,Esperance,AU,2022-03-23 21:52:55,-33.8667,121.9,53.44,76,37,4.29
115,Westport,US,2022-03-23 21:52:39,41.1415,-73.3579,45.45,57,100,8.01
116,Nanortalik,GL,2022-03-23 21:52:56,60.1432,-45.2371,27.03,78,100,1.5
117,Tripoli,LY,2022-03-23 21:52:06,32.8752,13.1875,54.79,60,51,12.64
118,Kruisfontein,ZA,2022-03-23 21:52:57,-34.0033,24.7314,64.89,85,99,6.73
119,Broome,US,2022-03-23 21:52:57,42.2506,-75.833,44.2,58,100,13.8
120,Taoudenni,ML,2022-03-23 21:52:57,22.6783,-3.9836,81.54,10,0,5.39
121,Hamilton,US,2022-03-23 21:49:19,39.1834,-84.5333,67.41,64,75,12.66
122,Rundu,NA,2022-03-23 21:52:58,-17.9333,19.7667,67.05,74,56,3.36
123,Pathein,MM,2022-03-23 21:52:59,16.7833,94.7333,73.78,89,56,4.0
124,Fangshan,CN,2022-03-23 21:52:59,39.6983,115.9925,44.82,57,24,4.07
125,Chengde,CN,2022-03-23 21:52:59,40.9725,117.9361,34.02,86,34,0.78
126,Lata,PT,2022-03-23 21:53:00,40.1629,-8.3327,57.92,73,93,8.08
127,Maniitsoq,GL,2022-03-23 21:53:00,65.4167,-52.9,1.67,89,8,6.35
128,Todos Santos,MX,2022-03-23 21:53:01,23.45,-110.2167,87.3,59,0,9.13
129,Brae,GB,2022-03-23 21:53:01,60.3964,-1.353,47.21,89,50,9.28
130,Jalu,LY,2022-03-23 21:53:01,29.0331,21.5482,52.54,54,2,11.36
131,Dingle,PH,2022-03-23 21:53:02,10.9995,122.6711,75.88,87,4,6.49
132,Vestmanna,FO,2022-03-23 21:53:02,62.1564,-7.1664,43.72,100,100,3.44
133,Sungaipenuh,ID,2022-03-23 21:53:03,-2.0833,101.3833,62.17,73,31,3.62
134,Lompoc,US,2022-03-23 21:53:03,34.6391,-120.4579,87.94,64,0,13.8
135,Ahipara,NZ,2022-03-23 21:53:03,-35.1667,173.1667,67.6,79,94,16.75
136,Darhan,MN,2022-03-23 21:53:04,49.4867,105.9228,24.82,95,100,8.48
137,Provideniya,RU,2022-03-23 21:53:04,64.3833,-173.3,15.91,67,0,7.0
138,Olinda,BR,2022-03-23 21:53:05,-8.0089,-34.8553,76.73,94,75,6.91
139,Clyde River,CA,2022-03-23 21:54:06,70.4692,-68.5914,-3.77,84,100,5.75
140,Bluff,NZ,2022-03-23 21:54:06,-46.6,168.3333,57.78,69,91,26.33
141,Mar Del Plata,AR,2022-03-23 21:49:12,-38.0023,-57.5575,71.1,97,100,20.0
142,Jiangyou,CN,2022-03-23 21:54:07,31.7667,104.7167,54.64,83,97,1.54
143,Hilo,US,2022-03-23 21:51:19,19.7297,-155.09,80.33,72,75,8.05
144,Kothen,DE,2022-03-23 21:54:07,51.75,11.9667,48.7,65,0,4.05
145,Ofunato,JP,2022-03-23 21:54:08,39.0717,141.7167,38.62,92,100,3.15
146,Meulaboh,ID,2022-03-23 21:54:08,4.1363,96.1285,76.66,90,97,3.89
147,Inongo,CD,2022-03-23 21:54:09,-1.95,18.2667,76.64,68,30,1.19
148,Nenjiang,CN,2022-03-23 21:54:09,49.1833,125.2167,17.37,100,100,4.29
