City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
118,Bandarbeyla,SO,79.48,clear sky,9.4942,50.8122,JABIR HOTEL
121,Hambantota,LK,79.34,scattered clouds,6.1241,81.1185,Bungalow 63
122,Adelanto,US,78.58,clear sky,34.5828,-117.4092,Days Inn Adelanto-Victorville
124,Carlsbad,US,75.7,overcast clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
131,Manavalakurichi,IN,80.04,scattered clouds,8.1333,77.3,Jebinrio home
134,Bambous Virieux,MU,76.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
135,Belmonte,BR,79.47,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
138,Butaritari,KI,82.31,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
140,Bonthe,SL,79.47,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
142,Saint George,US,76.42,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
143,San Patricio,US,84.29,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
149,Singkang,MY,75.09,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
150,Kudahuvadhoo,MV,82.87,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
154,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
155,Acapulco,MX,84.02,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
160,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
170,Truth Or Consequences,US,76.91,clear sky,33.1284,-107.2528,Charles Motel
171,Finschhafen,PG,79.54,moderate rain,-6.6024,147.8681,Cossam Guest House
173,Vila Velha,BR,80.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
177,Salinopolis,BR,75.69,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
178,Luxor,EG,81.77,scattered clouds,25.6989,32.6421,Iberotel Luxor
179,Sape,BR,79.97,overcast clouds,-7.0964,-35.2328,Caserna
182,Labuhan,ID,77.32,overcast clouds,-6.8844,112.2051,DoubleFAG
186,Comodoro Rivadavia,AR,75.06,clear sky,-45.8667,-67.5,Austral Hotel
188,Benguela,AO,76.64,light rain,-12.5763,13.4055,Hotel Praia Morena
192,Prado,BR,78.85,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
197,Doha,QA,82.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
200,Puerto Ayora,EC,84.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
201,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
204,Poum,NC,81.19,overcast clouds,-20.2333,164.0167,
205,Manokwari,ID,78.87,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
206,Manta,EC,80.38,scattered clouds,-0.95,-80.7333,Balandra Hotel
209,Phan Thiet,VN,76.46,overcast clouds,10.9333,108.1,Hotel Saigon-PT
211,Faanui,PF,81.05,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
214,Cockburn Town,TC,77.68,clear sky,21.4612,-71.1419,Osprey Beach Hotel
220,Kirakira,SB,77.79,moderate rain,-10.4544,161.9205,SanBiz Lodge
223,Lahaina,US,84.2,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
225,Meulaboh,ID,78.75,heavy intensity rain,4.1363,96.1285,Kost Pria
227,Coari,BR,81.03,heavy intensity rain,-4.085,-63.1414,Dellrey Hotel Center
230,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
236,Samarai,PG,79.9,moderate rain,-10.6167,150.6667,Nuli Sapi
245,Kulhudhuffushi,MV,82.58,clear sky,6.6221,73.07,Haajy Guest House 1
250,Chazuta,PE,81.45,overcast clouds,-6.5742,-76.1367,Cáliz Hostel Chazuta
256,Sao Jose Da Coroa Grande,BR,79.48,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
262,Quatre Cocos,MU,75.31,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
268,Karia,NG,82.22,clear sky,11.7306,11.1629,Kasakchiya Luxury Suites
282,Panacan,PH,79.81,overcast clouds,9.2463,118.4082,Mom's Place Resort
