City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
105,Qaanaaq,77.484,-69.3632,16.72,95,100,4.54,GL,2022-04-01 21:15:20,overcast clouds
106,Talnakh,69.4865,88.3972,11.21,95,100,7.4,RU,2022-04-01 21:15:21,light snow
107,Mahebourg,-20.4081,57.7,76.24,94,75,17.27,MU,2022-04-01 21:10:39,broken clouds
108,Dwarka,22.2394,68.9678,78.57,71,0,9.51,IN,2022-04-01 21:15:21,clear sky
109,Guerrero Negro,27.9769,-114.0611,66.06,54,3,16.02,MX,2022-04-01 21:15:22,clear sky
110,Haines Junction,60.7522,-137.5108,28.35,59,100,4.61,CA,2022-04-01 21:15:22,overcast clouds
111,Aklavik,68.2191,-135.0107,-9.4,59,0,0.0,CA,2022-04-01 21:15:23,clear sky
112,Sangmelima,2.9333,11.9833,69.66,99,100,1.9,CM,2022-04-01 21:15:23,heavy intensity rain
113,Soyo,-6.1349,12.3689,79.21,90,100,7.83,AO,2022-04-01 21:15:24,overcast clouds
114,Pritzwalk,53.1494,12.1741,37.58,64,100,15.1,DE,2022-04-01 21:15:24,overcast clouds
115,Emporia,38.4039,-96.1817,62.8,34,0,13.8,US,2022-04-01 21:15:25,clear sky
116,Russell,32.3502,-85.1999,72.55,30,0,5.75,US,2022-04-01 21:15:24,clear sky
117,Bocas Del Toro,9.3333,-82.25,81.66,74,21,7.94,PA,2022-04-01 21:15:26,few clouds
118,Bandarbeyla,9.4942,50.8122,79.48,77,5,9.13,SO,2022-04-01 21:15:26,clear sky
119,Castro,-24.7911,-50.0119,55.53,98,100,6.13,BR,2022-04-01 21:15:27,overcast clouds
120,Ahipara,-35.1667,173.1667,68.43,75,16,4.47,NZ,2022-04-01 21:15:27,few clouds
121,Hambantota,6.1241,81.1185,79.34,81,31,6.38,LK,2022-04-01 21:15:28,scattered clouds
122,Adelanto,34.5828,-117.4092,78.58,24,2,5.32,US,2022-04-01 21:15:28,clear sky
123,Jamestown,42.097,-79.2353,34.02,65,100,20.71,US,2022-04-01 21:15:27,overcast clouds
124,Carlsbad,33.1581,-117.3506,75.7,72,100,12.66,US,2022-04-01 21:10:33,overcast clouds
125,Lavrentiya,65.5833,-171.0,16.2,77,100,11.83,RU,2022-04-01 21:15:29,overcast clouds
126,Kruisfontein,-34.0033,24.7314,61.88,84,1,5.19,ZA,2022-04-01 21:15:30,clear sky
127,Husavik,66.0449,-17.3389,35.74,85,95,6.96,IS,2022-04-01 21:15:30,overcast clouds
128,Whitianga,-36.8333,175.7,67.51,85,82,6.31,NZ,2022-04-01 21:11:15,broken clouds
129,Bluff,-46.6,168.3333,56.35,73,73,16.28,NZ,2022-04-01 21:15:31,broken clouds
130,Sitka,57.0531,-135.33,39.09,81,100,9.22,US,2022-04-01 21:15:32,moderate rain
131,Manavalakurichi,8.1333,77.3,80.04,82,27,4.81,IN,2022-04-01 21:15:32,scattered clouds
132,Vardo,70.3705,31.1107,28.71,65,100,20.09,NO,2022-04-01 21:15:33,overcast clouds
133,Kitimat,54.0524,-128.6534,43.18,32,100,1.01,CA,2022-04-01 21:15:33,light rain
134,Bambous Virieux,-20.3428,57.7575,76.21,94,75,17.27,MU,2022-04-01 21:15:34,moderate rain
135,Belmonte,-15.8631,-38.8828,79.47,76,1,7.96,BR,2022-04-01 21:15:34,clear sky
136,Srandakan,-7.9386,110.2506,74.64,82,100,3.6,ID,2022-04-01 21:11:53,overcast clouds
137,Palmer,42.1584,-72.3287,49.62,66,100,20.71,US,2022-04-01 21:16:35,overcast clouds
138,Butaritari,3.0707,172.7902,82.31,76,100,20.76,KI,2022-04-01 21:16:36,overcast clouds
139,Camapua,-19.5314,-54.0439,69.96,88,100,6.02,BR,2022-04-01 21:16:36,overcast clouds
140,Bonthe,7.5264,-12.505,79.47,86,100,7.4,SL,2022-04-01 21:16:37,overcast clouds
141,Yar-Sale,66.8333,70.8333,6.94,91,58,11.07,RU,2022-04-01 21:16:37,broken clouds
142,Saint George,37.1041,-113.5841,76.42,19,0,5.99,US,2022-04-01 21:16:37,clear sky
143,San Patricio,28.017,-97.5169,84.29,45,100,16.73,US,2022-04-01 21:16:38,overcast clouds
144,Chapais,49.7834,-74.8492,20.98,87,100,12.44,CA,2022-04-01 21:16:38,overcast clouds
145,Kodiak,57.79,-152.4072,40.51,87,75,19.57,US,2022-04-01 21:16:39,light rain
146,Jackson,42.4165,-122.8345,65.37,44,0,3.44,US,2022-04-01 21:15:08,clear sky
147,Onega,63.9061,38.1404,7.41,98,81,3.33,RU,2022-04-01 21:16:40,broken clouds
148,Altay,47.8667,88.1167,35.69,39,100,10.22,CN,2022-04-01 21:16:40,overcast clouds
149,Singkang,2.1006,102.7994,75.09,94,95,1.25,MY,2022-04-01 21:16:41,overcast clouds
150,Kudahuvadhoo,2.6708,72.8944,82.87,70,20,6.31,MV,2022-04-01 21:16:41,few clouds
